	GSM2692159	GSM2692160	GSM2692161	GSM2692162	GSM2692163	GSM2692164
RP11-156P1.3	16.8562181307648	16.8334016781349	16.9413226529124	16.2083528518008	16.2175723533871	16.3297608786839
RP11-506N2.1	16.4701660601218	16.4792819013532	16.4959468430218	16.5700002834325	16.6768724046008	16.6927778785618
S100A11	16.457423509645	16.5001184523702	16.5001184523702	16.5620992228579	16.6233579348989	16.7249811612339
LGALS1	15.8759752615394	15.9155638631901	15.9447331285558	17.2728135039272	17.1435976409206	17.2073279572238
POLR2L	16.4123119079125	16.4408792273303	16.5166665895289	16.7293402675948	16.5408446090621	16.7018322761477
SEC61G	16.0426979561723	16.2055132743258	16.1507479968594	16.9503308097912	16.9297347909962	17.0322339382219
UQCRQ	16.2112491995325	16.3164316613414	16.3487052147435	16.7485608907891	16.7439544462959	16.9248964540957
ELK1	16.7396486063	16.7836580178838	16.6605546916882	15.5486299091371	16.6372242113978	16.7895882443875
ITGB1	16.6535221315637	16.6954054240131	16.7293402675948	16.2986629439691	16.4317476441796	16.3424069765216
YWHAQ	16.1176310672812	16.1670108642813	16.2112491995325	16.8359019628777	16.8617062792895	16.9465473462493
RP11-102M11.2	16.7542376801609	16.4345170774512	16.5658470153996	16.5889828163382	16.2939150048169	16.4860234901209
TSPEAR-AS1	16.6954054240131	16.5188372240507	16.5790975296244	16.1387801066697	16.6420333257171	16.547105321848
GABARAP	16.4650135394361	16.2986629439691	16.4123119079125	16.5371087632151	16.6535221315637	16.7485608907891
RPS7	16.3576993697152	16.5408446090621	16.3164316613414	16.7573589931214	16.4913622426631	16.5759930070585
TMA7	16.1363843797055	16.2590102231985	16.2651639446946	16.8617062792895	16.709130365184	16.7615431189718
HNRNPA1	16.7051049958828	16.6877373917257	16.6727540512918	16.1462179790805	16.2703200096584	16.4913622426631
CFL1	16.3072737296005	16.4860234901209	16.4345170774512	16.4959468430218	16.6035830744722	16.6283804073009
ACTN4	16.0120154353817	16.000458298992	16.1387801066697	17.0393220955013	16.8562181307648	16.8712189442645
RPL37	16.8956418980041	16.8455025076524	16.8455025076524	16.3424069765216	15.9820907499487	15.9625652704975
NACA2	16.7031730127864	16.908092596943	16.709130365184	16.2055132743258	16.1590927391866	16.1864874025137
RPL38	16.1791194841628	16.5166665895289	16.1670108642813	16.9465473462493	16.6097809292784	16.4523010815195
RP11-304F15.4	16.7202705852364	16.6372242113978	16.6179995143614	15.8582569427438	16.4815326484785	16.4792819013532
UQCRH	16.3539179337279	16.3548406522476	16.2746065177485	16.7202705852364	16.7031730127864	16.3576993697152
BCAM	16.6179995143614	16.4815326484785	16.4701660601218	15.8527075209052	16.6481902002701	16.6420333257171
