fromNode	toNode	weight	direction	fromAltName	toAltName
ADAMTS19-AS1	ARHGEF7-AS2	0.0320588746632718	undirected	ADAMTS19-AS1	ARHGEF7-AS2
ADAMTS19-AS1	BCDIN3D-AS1	0.0204249997679067	undirected	ADAMTS19-AS1	BCDIN3D-AS1
ADAMTS19-AS1	C17orf102	0.0806941970476872	undirected	ADAMTS19-AS1	C17orf102
ADAMTS19-AS1	CBR3-AS1	0.0864327275597954	undirected	ADAMTS19-AS1	CBR3-AS1
ADAMTS19-AS1	CTA-254O6.1	0.197811605955163	undirected	ADAMTS19-AS1	CTA-254O6.1
ADAMTS19-AS1	CTB-131B5.5	0.121568880950744	undirected	ADAMTS19-AS1	CTB-131B5.5
ADAMTS19-AS1	CTB-25B13.9	0.118342732703029	undirected	ADAMTS19-AS1	CTB-25B13.9
ADAMTS19-AS1	CTB-33O18.3	0.164076091864603	undirected	ADAMTS19-AS1	CTB-33O18.3
ADAMTS19-AS1	CTB-75G16.3	0.312722706289862	undirected	ADAMTS19-AS1	CTB-75G16.3
ADAMTS19-AS1	CTC-510F12.2	0.11601521638714	undirected	ADAMTS19-AS1	CTC-510F12.2
ADAMTS19-AS1	CTD-2366F13.1	0.0511260962714193	undirected	ADAMTS19-AS1	CTD-2366F13.1
ADAMTS19-AS1	CTD-2523D13.2	0.175449279679897	undirected	ADAMTS19-AS1	CTD-2523D13.2
ADAMTS19-AS1	CTD-2587H24.10	0.103914924170905	undirected	ADAMTS19-AS1	CTD-2587H24.10
ADAMTS19-AS1	CTD-3065B20.3	0.0336861791378771	undirected	ADAMTS19-AS1	CTD-3065B20.3
ADAMTS19-AS1	DIRC3	0.0381813600934736	undirected	ADAMTS19-AS1	DIRC3
ADAMTS19-AS1	EPB41L4A-AS1	0.0772404036639595	undirected	ADAMTS19-AS1	EPB41L4A-AS1
ADAMTS19-AS1	FAM222A-AS1	0.303803361041602	undirected	ADAMTS19-AS1	FAM222A-AS1
ADAMTS19-AS1	FGF14-IT1	0.221681872685771	undirected	ADAMTS19-AS1	FGF14-IT1
ADAMTS19-AS1	GDNF-AS1	0.105437587934285	undirected	ADAMTS19-AS1	GDNF-AS1
ADAMTS19-AS1	GPR158-AS1	0.0237531062692538	undirected	ADAMTS19-AS1	GPR158-AS1
ADAMTS19-AS1	INHBA-AS1	0.213113980760832	undirected	ADAMTS19-AS1	INHBA-AS1
ADAMTS19-AS1	KIAA0087	0.0411053346514145	undirected	ADAMTS19-AS1	KIAA0087
ADAMTS19-AS1	LINC00173	0.258575326703208	undirected	ADAMTS19-AS1	LINC00173
ADAMTS19-AS1	LINC00319	0.0798693707385308	undirected	ADAMTS19-AS1	LINC00319
ADAMTS19-AS1	LINC00609	0.0437138888118562	undirected	ADAMTS19-AS1	LINC00609
ADAMTS19-AS1	LINC00707	0.0391088106694329	undirected	ADAMTS19-AS1	LINC00707
ADAMTS19-AS1	LINC00870	0.0485768010625272	undirected	ADAMTS19-AS1	LINC00870
ADAMTS19-AS1	LINC01013	0.23399842915795	undirected	ADAMTS19-AS1	LINC01013
ADAMTS19-AS1	MIR497HG	0.0314441708671973	undirected	ADAMTS19-AS1	MIR497HG
ADAMTS19-AS1	MORF4L2-AS1	0.0718695880576299	undirected	ADAMTS19-AS1	MORF4L2-AS1
ADAMTS19-AS1	MRPL23-AS1	0.187225225734159	undirected	ADAMTS19-AS1	MRPL23-AS1
ADAMTS19-AS1	PAN3-AS1	0.0239948743984039	undirected	ADAMTS19-AS1	PAN3-AS1
ADAMTS19-AS1	RP1-151F17.2	0.0440637473483072	undirected	ADAMTS19-AS1	RP1-151F17.2
ADAMTS19-AS1	RP11-1070N10.3	0.0286734111028631	undirected	ADAMTS19-AS1	RP11-1070N10.3
